#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# ID = a unique integer identifier for the robot
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#    BOSS = BOSS Fiber (no APOGEE fiber)
#    Fiducial = Fixed Illuminated Fiducial
# Sextant = sextant number (-1 for fiducials)
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# ID     Row   Pos     X (mm)  Y (mm)          Assignment     Sextant
   0      -8   10        0.0  -155.1918         Fiducial         -1
 102      -8   11       22.4  -155.1918               BA          2
 103      -8   12       44.8  -155.1918               BA          2
 104      -8   13       67.2  -155.1918               BA          2
   0      -8   14       89.6  -155.1918         Fiducial         -1
 105      -8   15      112.0  -155.1918             BOSS          2
 106      -8   16      134.4  -155.1918               BA          2
   0      -8   17      156.8  -155.1918         Fiducial         -1
 107      -8   18      179.2  -155.1918               BA          2
 108      -8   19      201.6  -155.1918               BA          2
 109      -8   20      224.0  -155.1918               BA          2
   0      -7    0     -235.2  -135.7928         Fiducial         -1
 110      -7    1     -212.8  -135.7928             BOSS          2
 111      -7    2     -190.4  -135.7928               BA          2
 112      -7    3     -168.0  -135.7928             BOSS          2
 113      -7    4     -145.6  -135.7928               BA          2
 114      -7    5     -123.2  -135.7928             BOSS          2
 115      -7    6     -100.8  -135.7928               BA          2
 116      -7    7      -78.4  -135.7928               BA          2
 117      -7    8      -56.0  -135.7928             BOSS          2
 118      -7    9      -33.6  -135.7928             BOSS          2
 119      -7   10      -11.2  -135.7928             BOSS          2
 120      -7   11       11.2  -135.7928             BOSS          2
 121      -7   12       33.6  -135.7928             BOSS          2
 122      -7   13       56.0  -135.7928             BOSS          2
 123      -7   14       78.4  -135.7928               BA          2
 124      -7   15      100.8  -135.7928               BA          2
 125      -7   16      123.2  -135.7928             BOSS          2
 126      -7   17      145.6  -135.7928               BA          2
 127      -7   18      168.0  -135.7928             BOSS          2
 128      -7   19      190.4  -135.7928               BA          2
 129      -7   20      212.8  -135.7928             BOSS          2
   0      -7   21      235.2  -135.7928         Fiducial         -1
 130      -6    0     -246.4  -116.3938               BA          2
 131      -6    1     -224.0  -116.3938             BOSS          2
 132      -6    2     -201.6  -116.3938               BA          2
 133      -6    3     -179.2  -116.3938             BOSS          2
 134      -6    4     -156.8  -116.3938               BA          2
 135      -6    5     -134.4  -116.3938             BOSS          2
 136      -6    6     -112.0  -116.3938               BA          2
 137      -6    7      -89.6  -116.3938             BOSS          2
 138      -6    8      -67.2  -116.3938               BA          2
   0      -6    9      -44.8  -116.3938         Fiducial         -1
 139      -6   10      -22.4  -116.3938               BA          2
 140      -6   11        0.0  -116.3938               BA          2
 141      -6   12       22.4  -116.3938               BA          2
   0      -6   13       44.8  -116.3938         Fiducial         -1
 142      -6   14       67.2  -116.3938               BA          2
 143      -6   15       89.6  -116.3938             BOSS          2
 144      -6   16      112.0  -116.3938               BA          2
 145      -6   17      134.4  -116.3938             BOSS          2
 146      -6   18      156.8  -116.3938               BA          2
 147      -6   19      179.2  -116.3938             BOSS          2
 148      -6   20      201.6  -116.3938               BA          2
 149      -6   21      224.0  -116.3938             BOSS          2
 150      -6   22      246.4  -116.3938               BA          2
 151      -5    0     -257.6   -96.9948               BA          2
 152      -5    1     -235.2   -96.9948               BA          2
 153      -5    2     -212.8   -96.9948               BA          2
 154      -5    3     -190.4   -96.9948             BOSS          2
   0      -5    4     -168.0   -96.9948         Fiducial         -1
 155      -5    5     -145.6   -96.9948             BOSS          2
 156      -5    6     -123.2   -96.9948               BA          2
 157      -5    7     -100.8   -96.9948             BOSS          2
 158      -5    8      -78.4   -96.9948               BA          2
 159      -5    9      -56.0   -96.9948             BOSS          2
 160      -5   10      -33.6   -96.9948               BA          2
 161      -5   11      -11.2   -96.9948             BOSS          2
 162      -5   12       11.2   -96.9948             BOSS          2
 163      -5   13       33.6   -96.9948               BA          2
 164      -5   14       56.0   -96.9948             BOSS          2
 165      -5   15       78.4   -96.9948               BA          2
 166      -5   16      100.8   -96.9948             BOSS          2
 167      -5   17      123.2   -96.9948               BA          3
 168      -5   18      145.6   -96.9948             BOSS          3
   0      -5   19      168.0   -96.9948         Fiducial         -1
 169      -5   20      190.4   -96.9948             BOSS          3
 170      -5   21      212.8   -96.9948               BA          3
 171      -5   22      235.2   -96.9948               BA          3
 172      -5   23      257.6   -96.9948               BA          3
   0      -4    0     -268.8   -77.5959         Fiducial         -1
 173      -4    1     -246.4   -77.5959             BOSS          3
 174      -4    2     -224.0   -77.5959               BA          3
 175      -4    3     -201.6   -77.5959             BOSS          3
 176      -4    4     -179.2   -77.5959               BA          3
 177      -4    5     -156.8   -77.5959             BOSS          3
 178      -4    6     -134.4   -77.5959               BA          3
 179      -4    7     -112.0   -77.5959             BOSS          3
 180      -4    8      -89.6   -77.5959               BA          3
   0      -4    9      -67.2   -77.5959         Fiducial         -1
 181      -4   10      -44.8   -77.5959               BA          3
 182      -4   11      -22.4   -77.5959               BA          3
   0      -4   12        0.0   -77.5959         Fiducial         -1
 183      -4   13       22.4   -77.5959               BA          3
 184      -4   14       44.8   -77.5959               BA          3
   0      -4   15       67.2   -77.5959         Fiducial         -1
 185      -4   16       89.6   -77.5959               BA          3
 186      -4   17      112.0   -77.5959             BOSS          3
 187      -4   18      134.4   -77.5959               BA          3
 188      -4   19      156.8   -77.5959             BOSS          3
 189      -4   20      179.2   -77.5959               BA          3
 190      -4   21      201.6   -77.5959             BOSS          3
 191      -4   22      224.0   -77.5959               BA          3
 192      -4   23      246.4   -77.5959             BOSS          3
   0      -4   24      268.8   -77.5959         Fiducial         -1
 193      -3    0     -280.0   -58.1969               BA          3
 194      -3    1     -257.6   -58.1969             BOSS          3
 195      -3    2     -235.2   -58.1969               BA          3
   0      -3    3     -212.8   -58.1969         Fiducial         -1
 196      -3    4     -190.4   -58.1969               BA          3
 197      -3    5     -168.0   -58.1969             BOSS          3
 198      -3    6     -145.6   -58.1969               BA          3
   0      -3    7     -123.2   -58.1969         Fiducial         -1
 199      -3    8     -100.8   -58.1969               BA          3
 200      -3   17      100.8   -58.1969               BA          3
   0      -3   18      123.2   -58.1969         Fiducial         -1
 201      -3   19      145.6   -58.1969               BA          3
 202      -3   20      168.0   -58.1969             BOSS          3
 203      -3   21      190.4   -58.1969               BA          3
   0      -3   22      212.8   -58.1969         Fiducial         -1
 204      -3   23      235.2   -58.1969               BA          3
 205      -3   24      257.6   -58.1969             BOSS          3
 206      -3   25      280.0   -58.1969               BA          3
 207      -2    0     -291.2   -38.7979               BA          3
 208      -2    1     -268.8   -38.7979             BOSS          3
 209      -2    2     -246.4   -38.7979               BA          3
 210      -2    3     -224.0   -38.7979             BOSS          3
 211      -2    4     -201.6   -38.7979               BA          3
 212      -2    5     -179.2   -38.7979             BOSS          3
 213      -2    6     -156.8   -38.7979               BA          3
 214      -2    7     -134.4   -38.7979             BOSS          3
 215      -2    8     -112.0   -38.7979               BA          3
 216      -2   18      112.0   -38.7979               BA          3
 217      -2   19      134.4   -38.7979             BOSS          3
 218      -2   20      156.8   -38.7979               BA          3
 219      -2   21      179.2   -38.7979             BOSS          3
 220      -2   22      201.6   -38.7979               BA          3
 221      -2   23      224.0   -38.7979             BOSS          3
 222      -2   24      246.4   -38.7979               BA          3
 223      -2   25      268.8   -38.7979             BOSS          3
 224      -2   26      291.2   -38.7979               BA          3
 225      -1    0     -302.4    -19.399               BA          3
 226      -1    1     -280.0    -19.399             BOSS          3
 227      -1    2     -257.6    -19.399               BA          3
 228      -1    3     -235.2    -19.399             BOSS          3
 229      -1    4     -212.8    -19.399               BA          3
 230      -1    5     -190.4    -19.399             BOSS          3
 231      -1    6     -168.0    -19.399               BA          3
 232      -1    7     -145.6    -19.399             BOSS          3
 233      -1    8     -123.2    -19.399               BA          3
 234      -1    9     -100.8    -19.399             BOSS          3
 235      -1   18      100.8    -19.399             BOSS          3
 236      -1   19      123.2    -19.399               BA          3
 237      -1   20      145.6    -19.399             BOSS          3
 238      -1   21      168.0    -19.399               BA          3
 239      -1   22      190.4    -19.399             BOSS          3
 240      -1   23      212.8    -19.399               BA          3
