#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# ID = a unique integer identifier for the robot
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#    BOSS = BOSS Fiber (no APOGEE fiber)
#    Fiducial = Fixed Illuminated Fiducial
# Sextant = sextant number (-1 for fiducials)
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# ID     Row   Pos     X (mm)  Y (mm)          Assignment     Sextant
 438       4   11      -22.4    77.5959               BA          6
   0       4   12        0.0    77.5959         Fiducial         -1
 439       4   13       22.4    77.5959               BA          6
 440       4   14       44.8    77.5959               BA          6
   0       4   15       67.2    77.5959         Fiducial         -1
 441       4   16       89.6    77.5959               BA          6
 442       4   17      112.0    77.5959             BOSS          6
 443       4   18      134.4    77.5959               BA          6
 444       4   19      156.8    77.5959             BOSS          6
 445       4   20      179.2    77.5959               BA          6
 446       4   21      201.6    77.5959             BOSS          6
 447       4   22      224.0    77.5959               BA          6
 448       4   23      246.4    77.5959             BOSS          6
   0       4   24      268.8    77.5959         Fiducial         -1
 449       3    0     -280.0    58.1969               BA          6
 450       3    1     -257.6    58.1969             BOSS          6
 451       3    2     -235.2    58.1969               BA          6
   0       3    3     -212.8    58.1969         Fiducial         -1
 452       3    4     -190.4    58.1969               BA          6
 453       3    5     -168.0    58.1969             BOSS          6
 454       3    6     -145.6    58.1969               BA          6
   0       3    7     -123.2    58.1969         Fiducial         -1
 455       3    8     -100.8    58.1969               BA          6
 456       3   17      100.8    58.1969               BA          6
   0       3   18      123.2    58.1969         Fiducial         -1
 457       3   19      145.6    58.1969               BA          6
 458       3   20      168.0    58.1969             BOSS          6
 459       3   21      190.4    58.1969               BA          6
   0       3   22      212.8    58.1969         Fiducial         -1
 460       3   23      235.2    58.1969               BA          6
 461       3   24      257.6    58.1969             BOSS          6
 462       3   25      280.0    58.1969               BA          6
 463       2    0     -291.2    38.7979               BA          6
 464       2    1     -268.8    38.7979             BOSS          6
 465       2    2     -246.4    38.7979               BA          6
 466       2    3     -224.0    38.7979             BOSS          6
 467       2    4     -201.6    38.7979               BA          6
 468       2    5     -179.2    38.7979             BOSS          6
 469       2    6     -156.8    38.7979               BA          6
 470       2    7     -134.4    38.7979             BOSS          6
 471       2    8     -112.0    38.7979               BA          6
 472       2   18      112.0    38.7979               BA          6
 473       2   19      134.4    38.7979             BOSS          6
 474       2   20      156.8    38.7979               BA          6
 475       2   21      179.2    38.7979             BOSS          6
 476       2   22      201.6    38.7979               BA          6
 477       2   23      224.0    38.7979             BOSS          6
 478       2   24      246.4    38.7979               BA          6
 479       2   25      268.8    38.7979             BOSS          6
 480       2   26      291.2    38.7979               BA          6
 481       1    0     -302.4     19.399               BA          6
 482       1    1     -280.0     19.399             BOSS          6
 483       1    2     -257.6     19.399               BA          6
 484       1    3     -235.2     19.399             BOSS          6
 485       1    4     -212.8     19.399               BA          6
 486       1    5     -190.4     19.399             BOSS          6
 487       1    6     -168.0     19.399               BA          6
 488       1    7     -145.6     19.399             BOSS          6
 489       1    8     -123.2     19.399               BA          6
 490       1    9     -100.8     19.399             BOSS          6
 491       1   18      100.8     19.399             BOSS          6
 492       1   19      123.2     19.399               BA          6
 493       1   20      145.6     19.399             BOSS          6
 494       1   21      168.0     19.399               BA          6
 495       1   22      190.4     19.399             BOSS          6
 496       1   23      212.8     19.399               BA          6
 497       1   24      235.2     19.399             BOSS          6
 498       1   25      257.6     19.399               BA          6
 499       1   26      280.0     19.399             BOSS          6
 500       1   27      302.4     19.399               BA          6
